id,转换后JH,XJS,JX,FW,LJCZJS,JX_design,FW_design,LJCZJS_design,关键点
9574,B16-X1,942.0,N/A,N/A,N/A,18.3,186.66,908.87,N/A
9575,B16-X1,1002.0,N/A,N/A,N/A,18.33,186.82,965.83,N/A
9576,B16-X1,1062.0,N/A,N/A,N/A,18.36,186.98,1022.78,N/A
9577,B16-X1,1122.0,N/A,N/A,N/A,18.39,187.14,1079.72,N/A
9578,B16-X1,1182.0,N/A,N/A,N/A,18.42,187.3,1136.66,N/A
9579,B16-X1,1242.0,N/A,N/A,N/A,18.45,187.46,1193.58,N/A
9580,B16-X1,1302.0,N/A,N/A,N/A,18.48,187.62,1250.49,N/A
9581,B16-X1,1362.0,N/A,N/A,N/A,18.52,187.78,1307.39,N/A
9582,B16-X1,1422.0,N/A,N/A,N/A,18.55,187.94,1364.27,N/A
9583,B16-X1,1482.0,N/A,N/A,N/A,18.58,188.1,1421.15,N/A
9584,B16-X1,1542.0,N/A,N/A,N/A,18.61,188.26,1478.02,N/A
9585,B16-X1,1602.0,N/A,N/A,N/A,18.64,188.42,1534.88,N/A
9586,B16-X1,1662.0,N/A,N/A,N/A,18.68,188.57,1591.72,N/A
9587,B16-X1,1722.0,N/A,N/A,N/A,18.71,188.73,1648.56,N/A
9588,B16-X1,1782.0,N/A,N/A,N/A,18.74,188.89,1705.38,N/A
9589,B16-X1,1842.0,N/A,N/A,N/A,18.77,189.04,1762.2,N/A
9590,B16-X1,1902.0,N/A,N/A,N/A,18.81,189.2,1819.0,N/A
9591,B16-X1,1962.0,N/A,N/A,N/A,18.84,189.35,1875.79,N/A
9592,B16-X1,2022.0,N/A,N/A,N/A,18.87,189.5,1932.57,N/A
9593,B16-X1,2082.0,N/A,N/A,N/A,18.9,189.66,1989.34,N/A
9594,B16-X1,2142.0,N/A,N/A,N/A,18.94,189.81,2046.1,N/A
9595,B16-X1,2202.0,N/A,N/A,N/A,18.97,189.96,2102.84,N/A
9596,B16-X1,2262.0,N/A,N/A,N/A,19.0,190.11,2159.58,N/A
9597,B16-X1,2322.0,N/A,N/A,N/A,19.04,190.27,2216.31,N/A
9598,B16-X1,2382.0,N/A,N/A,N/A,19.07,190.42,2273.02,N/A
9599,B16-X1,2442.0,N/A,N/A,N/A,19.1,190.57,2329.72,N/A
9600,B16-X1,2502.0,N/A,N/A,N/A,19.14,190.72,2386.41,N/A
9601,B16-X1,2562.0,N/A,N/A,N/A,19.17,190.87,2443.09,N/A
9602,B16-X1,2622.0,N/A,N/A,N/A,19.21,191.01,2499.75,N/A
9603,B16-X1,2682.0,N/A,N/A,N/A,19.24,191.16,2556.41,N/A
9604,B16-X1,2742.0,N/A,N/A,N/A,19.28,191.31,2613.05,N/A
9605,B16-X1,2802.0,N/A,N/A,N/A,19.31,191.46,2669.68,N/A
9606,B16-X1,2862.0,N/A,N/A,N/A,19.34,191.6,2726.3,N/A
9607,B16-X1,2922.0,N/A,N/A,N/A,19.38,191.75,2782.91,N/A
9608,B16-X1,2982.0,N/A,N/A,N/A,19.41,191.9,2839.5,N/A
9609,B16-X1,3003.73,N/A,N/A,N/A,19.43,191.95,2859.99,N/A
9610,B16-X1,3130.98,N/A,N/A,N/A,19.43,191.95,2980.0,N/A
377,B16-X13,0.0,0.0,103.24,N/A,N/A,N/A,N/A,0.0
378,B16-X13,7.9,0.0,103.24,7.9,N/A,N/A,N/A,0.0
379,B16-X13,32.9,0.3,103.24,32.9,N/A,N/A,N/A,0.0
380,B16-X13,57.9,0.4,40.48,57.9,N/A,N/A,N/A,0.0
381,B16-X13,82.9,0.53,18.1,82.9,N/A,N/A,N/A,0.0
382,B16-X13,107.9,0.44,27.94,107.9,N/A,N/A,N/A,0.0
383,B16-X13,132.9,0.26,12.86,132.9,N/A,N/A,N/A,0.0
384,B16-X13,157.9,0.33,39.08,157.9,N/A,N/A,N/A,0.0
385,B16-X13,182.9,0.37,48.35,182.9,N/A,N/A,N/A,0.0
386,B16-X13,207.9,0.29,65.33,207.9,N/A,N/A,N/A,0.0
387,B16-X13,232.9,0.57,59.61,232.9,N/A,N/A,N/A,0.0
388,B16-X13,252.9,0.62,50.55,252.89,N/A,N/A,N/A,0.0
389,B16-X13,277.9,0.62,50.55,277.89,N/A,N/A,N/A,0.0
390,B16-X13,304.0,0.62,50.55,303.99,N/A,N/A,N/A,0.0
391,B16-X13,326.01,0.65,69.2,326.0,N/A,N/A,N/A,0.0
392,B16-X13,354.77,1.02,87.4,354.76,N/A,N/A,N/A,0.0
393,B16-X13,383.6,0.88,102.7,383.58,N/A,N/A,N/A,0.0
394,B16-X13,412.26,0.95,118.6,412.24,N/A,N/A,N/A,0.0
395,B16-X13,441.03,1.1,134.5,441.0,N/A,N/A,N/A,0.0
396,B16-X13,469.76,0.52,56.9,469.73,N/A,N/A,N/A,0.0
397,B16-X13,498.38,0.4,33.7,498.35,N/A,N/A,N/A,0.0
398,B16-X13,527.11,0.72,87.6,527.08,N/A,N/A,N/A,0.0
399,B16-X13,555.81,1.05,129.3,555.78,N/A,N/A,N/A,0.0
400,B16-X13,584.5,1.41,153.7,584.46,N/A,N/A,N/A,0.0
401,B16-X13,613.26,1.32,153.6,613.21,N/A,N/A,N/A,0.0
402,B16-X13,641.97,1.21,152.7,641.91,N/A,N/A,N/A,0.0
403,B16-X13,670.71,1.01,151.2,670.65,N/A,N/A,N/A,0.0
404,B16-X13,690.0,2.11,190.0,689.93,N/A,N/A,N/A,1.0
405,B16-X13,699.44,3.47,195.3,699.36,N/A,N/A,N/A,0.0
406,B16-X13,709.05,4.88,195.1,708.94,N/A,N/A,N/A,0.0
407,B16-X13,718.55,6.66,194.5,718.4,N/A,N/A,N/A,0.0
408,B16-X13,728.13,8.33,193.4,727.89,N/A,N/A,N/A,0.0
409,B16-X13,737.7,9.86,194.6,737.34,N/A,N/A,N/A,0.0
410,B16-X13,747.3,11.59,196.0,746.77,N/A,N/A,N/A,0.0
411,B16-X13,756.89,13.07,196.9,756.14,N/A,N/A,N/A,0.0
412,B16-X13,766.51,14.53,199.2,765.49,N/A,N/A,N/A,0.0
413,B16-X13,776.07,15.86,201.7,774.71,N/A,N/A,N/A,0.0
414,B16-X13,785.67,17.01,203.6,783.92,N/A,N/A,N/A,0.0
415,B16-X13,795.22,18.32,203.2,793.02,N/A,N/A,N/A,0.0
416,B16-X13,804.8,19.65,202.8,802.08,N/A,N/A,N/A,0.0
417,B16-X13,814.37,20.92,202.3,811.05,N/A,N/A,N/A,0.0
418,B16-X13,823.91,22.06,199.6,819.93,N/A,N/A,N/A,0.0
419,B16-X13,833.46,23.18,197.1,828.74,N/A,N/A,N/A,0.0
420,B16-X13,843.02,24.35,194.9,837.49,N/A,N/A,N/A,0.0
421,B16-X13,852.57,25.69,195.2,846.15,N/A,N/A,N/A,0.0
422,B16-X13,862.13,27.03,195.6,854.71,N/A,N/A,N/A,0.0
423,B16-X13,871.7,28.21,195.5,863.19,N/A,N/A,N/A,0.0
424,B16-X13,881.24,29.02,193.4,871.57,N/A,N/A,N/A,0.0
425,B16-X13,900.44,30.01,190.0,888.28,N/A,N/A,N/A,2.0
426,B16-X13,929.1,29.98,190.3,913.1,N/A,N/A,N/A,0.0
427,B16-X13,957.76,29.95,190.5,937.93,N/A,N/A,N/A,0.0
428,B16-X13,986.44,29.93,190.8,962.78,N/A,N/A,N/A,0.0
429,B16-X13,1015.12,29.29,190.7,987.71,N/A,N/A,N/A,0.0
430,B16-X13,1043.85,28.63,190.5,1012.85,N/A,N/A,N/A,0.0
431,B16-X13,1072.54,28.04,190.2,1038.1,N/A,N/A,N/A,0.0
432,B16-X13,1101.18,27.76,190.2,1063.41,N/A,N/A,N/A,0.0
433,B16-X13,1129.83,27.62,190.0,1088.78,N/A,N/A,N/A,0.0
434,B16-X13,1158.55,27.55,190.0,1114.24,N/A,N/A,N/A,0.0
435,B16-X13,1187.27,27.46,190.3,1139.71,N/A,N/A,N/A,0.0
436,B16-X13,1216.92,27.41,190.6,1166.03,N/A,N/A,N/A,0.0
437,B16-X13,1245.63,27.38,190.8,1191.52,N/A,N/A,N/A,0.0
438,B16-X13,1274.34,29.22,191.0,1216.79,N/A,N/A,N/A,0.0
439,B16-X13,1303.06,28.93,191.4,1241.9,N/A,N/A,N/A,0.0
440,B16-X13,1331.71,28.65,191.7,1267.0,N/A,N/A,N/A,0.0
441,B16-X13,1360.45,28.53,191.3,1292.24,N/A,N/A,N/A,0.0
442,B16-X13,1389.15,28.39,190.8,1317.47,N/A,N/A,N/A,0.0
443,B16-X13,1417.83,28.44,190.9,1342.7,N/A,N/A,N/A,0.0
444,B16-X13,1446.57,28.48,191.0,1367.96,N/A,N/A,N/A,0.0
445,B16-X13,1475.21,28.42,191.6,1393.14,N/A,N/A,N/A,0.0
446,B16-X13,1503.87,28.21,191.5,1418.38,N/A,N/A,N/A,0.0
447,B16-X13,1532.56,28.13,191.7,1443.67,N/A,N/A,N/A,0.0
448,B16-X13,1561.27,27.95,192.4,1469.01,N/A,N/A,N/A,0.0
449,B16-X13,1590.0,27.73,193.1,1494.41,N/A,N/A,N/A,0.0
450,B16-X13,1618.73,27.99,193.8,1519.81,N/A,N/A,N/A,0.0
451,B16-X13,1647.5,28.02,193.7,1545.21,N/A,N/A,N/A,0.0
452,B16-X13,1676.14,28.04,193.5,1570.49,N/A,N/A,N/A,0.0
453,B16-X13,1704.86,28.61,193.8,1595.77,N/A,N/A,N/A,0.0
454,B16-X13,1733.6,28.9,193.1,1620.97,N/A,N/A,N/A,0.0
455,B16-X13,1762.28,29.18,192.4,1646.04,N/A,N/A,N/A,0.0
456,B16-X13,1790.94,29.49,191.1,1671.03,N/A,N/A,N/A,0.0
457,B16-X13,1819.59,29.62,189.7,1695.95,N/A,N/A,N/A,0.0
458,B16-X13,1848.33,31.2,192.5,1720.74,N/A,N/A,N/A,0.0
459,B16-X13,1877.07,30.45,192.0,1745.42,N/A,N/A,N/A,0.0
460,B16-X13,1905.81,31.86,188.8,1770.01,N/A,N/A,N/A,0.0
461,B16-X13,1934.46,33.57,188.1,1794.12,N/A,N/A,N/A,0.0
462,B16-X13,1963.1,32.12,187.7,1818.18,N/A,N/A,N/A,0.0
463,B16-X13,1991.82,31.99,188.7,1842.52,N/A,N/A,N/A,0.0
464,B16-X13,2020.49,32.7,190.7,1866.74,N/A,N/A,N/A,0.0
465,B16-X13,2049.23,32.12,189.8,1891.0,N/A,N/A,N/A,0.0
466,B16-X13,2058.77,32.8,190.7,1899.05,N/A,N/A,N/A,0.0
467,B16-X13,2087.47,33.89,190.4,1923.03,N/A,N/A,N/A,0.0
468,B16-X13,2116.22,32.64,189.4,1947.07,N/A,N/A,N/A,0.0
469,B16-X13,2144.9,31.38,188.3,1971.38,N/A,N/A,N/A,0.0
470,B16-X13,2173.64,29.62,187.8,1996.15,N/A,N/A,N/A,0.0
471,B16-X13,2202.31,30.45,188.8,2020.97,N/A,N/A,N/A,0.0
472,B16-X13,2231.05,27.95,191.1,2046.05,N/A,N/A,N/A,3.0
473,B16-X13,2259.83,26.28,189.8,2071.67,N/A,N/A,N/A,0.0
474,B16-X13,2288.55,26.98,193.6,2097.34,N/A,N/A,N/A,0.0
475,B16-X13,2317.25,26.02,191.6,2123.03,N/A,N/A,N/A,0.0
476,B16-X13,2345.91,24.19,190.2,2148.98,N/A,N/A,N/A,0.0
477,B16-X13,2374.62,22.02,187.9,2175.38,N/A,N/A,N/A,0.0
478,B16-X13,2403.25,19.03,186.2,2202.19,N/A,N/A,N/A,0.0
479,B16-X13,2431.89,16.88,190.8,2229.44,N/A,N/A,N/A,0.0
480,B16-X13,2460.6,14.94,185.9,2257.05,N/A,N/A,N/A,0.0
481,B16-X13,2489.23,12.51,181.1,2284.86,N/A,N/A,N/A,0.0
482,B16-X13,2517.97,10.11,175.6,2313.04,N/A,N/A,N/A,0.0
483,B16-X13,2546.71,9.23,169.8,2341.37,N/A,N/A,N/A,0.0
484,B16-X13,2575.35,8.96,158.6,2369.65,N/A,N/A,N/A,0.0
485,B16-X13,2604.09,8.71,156.8,2398.05,N/A,N/A,N/A,0.0
486,B16-X13,2632.76,8.53,153.6,2426.39,N/A,N/A,N/A,0.0
487,B16-X13,2661.52,8.66,151.6,2454.83,N/A,N/A,N/A,0.0
488,B16-X13,2664.63,8.67,151.37,2457.9,N/A,N/A,N/A,0.0
489,B16-X13,2690.28,8.79,149.5,2483.26,N/A,N/A,N/A,0.0
490,B16-X13,2718.95,8.62,144.5,2511.6,N/A,N/A,N/A,0.0
491,B16-X13,2747.65,8.44,138.4,2539.98,N/A,N/A,N/A,0.0
492,B16-X13,2776.31,8.32,138.8,2568.33,N/A,N/A,N/A,0.0
493,B16-X13,2804.99,8.22,139.1,2596.71,N/A,N/A,N/A,0.0
494,B16-X13,2833.69,8.16,142.7,2625.12,N/A,N/A,N/A,0.0
495,B16-X13,2862.41,8.09,146.3,2653.55,N/A,N/A,N/A,0.0
496,B16-X13,2891.12,8.39,151.7,2681.97,N/A,N/A,N/A,0.0
497,B16-X13,2919.81,8.79,155.1,2710.33,N/A,N/A,N/A,0.0
498,B16-X13,2948.5,8.85,158.3,2738.69,N/A,N/A,N/A,0.0
499,B16-X13,2977.22,8.91,160.5,2767.06,N/A,N/A,N/A,0.0
500,B16-X13,3005.88,8.96,162.7,2795.37,N/A,N/A,N/A,0.0
501,B16-X13,3034.51,9.31,163.0,2823.64,N/A,N/A,N/A,0.0
502,B16-X13,3063.18,9.79,163.2,2851.91,N/A,N/A,N/A,0.0
503,B16-X13,3091.82,10.2,163.2,2880.12,N/A,N/A,N/A,0.0
504,B16-X13,3120.76,10.53,162.7,2908.59,N/A,N/A,N/A,0.0
505,B16-X13,3149.69,10.67,162.1,2937.02,N/A,N/A,N/A,0.0
506,B16-X13,3178.59,10.75,161.7,2965.42,N/A,N/A,N/A,0.0
507,B16-X13,3207.27,11.22,162.6,2993.57,N/A,N/A,N/A,0.0
508,B16-X13,3236.03,11.54,163.7,3021.77,N/A,N/A,N/A,0.0
509,B16-X13,3256.5,11.82,163.6,3041.81,N/A,N/A,N/A,0.0
510,B16-X13,3273.5,11.98,163.5,3058.45,N/A,N/A,N/A,0.0
511,B16-X13,3290.0,11.98,163.5,3074.59,N/A,N/A,N/A,0.0
9652,B16-X13,0.0,N/A,N/A,N/A,0.0,190.38,N/A,N/A
9653,B16-X13,700.0,N/A,N/A,N/A,0.0,190.38,700.0,N/A
9654,B16-X13,760.0,N/A,N/A,N/A,9.0,190.38,759.75,N/A
9655,B16-X13,820.0,N/A,N/A,N/A,18.0,190.38,818.04,N/A
9656,B16-X13,880.0,N/A,N/A,N/A,27.0,190.38,873.41,N/A
9657,B16-X13,906.68,N/A,N/A,N/A,31.0,190.38,896.74,N/A
9658,B16-X13,1067.98,N/A,N/A,N/A,31.0,190.38,1035.0,N/A
9659,B16-X13,1206.68,N/A,N/A,N/A,31.0,190.38,1153.89,N/A
9660,B16-X13,1435.48,N/A,N/A,N/A,31.0,190.38,1350.01,N/A
9661,B16-X13,1506.68,N/A,N/A,N/A,31.0,190.38,1411.04,N/A
9662,B16-X13,1785.47,N/A,N/A,N/A,31.0,190.38,1650.01,N/A
9663,B16-X13,1806.68,N/A,N/A,N/A,31.0,190.38,1668.19,N/A
9664,B16-X13,1820.47,N/A,N/A,N/A,31.0,190.38,1680.01,N/A
9665,B16-X13,2030.47,N/A,N/A,N/A,31.0,190.38,1860.02,N/A
9666,B16-X13,2048.98,N/A,N/A,N/A,31.0,190.38,1875.88,N/A
9667,B16-X13,2108.98,N/A,N/A,N/A,28.6,190.38,1927.95,N/A
9668,B16-X13,2150.88,N/A,N/A,N/A,26.93,190.38,1965.02,N/A
